operational_type,description
gen_commit_bin,
gen_commit_cap,
gen_commit_lin,
gen_simple,
gen_hydro,
gen_hydro_must_take,
gen_must_run,
stor,
gen_var,
gen_always_on,
gen_var_must_take,
dr,
gen_var_stor_hyb,
gen_H2,
stor_H2,
gen_H2_ele,
gen_commit_cap_ccs,
gen_commit_cap_H2,
gen_commit_cap_H2_ccs,
stor_ccs,
